N,P,K,pH,EC,OC,Zn,Fe,Cu,Mn,Output
289,14.5,549,7.18,0.64,0.26,0.23,2.44,0.42,6.74,1
75,8.1,327,7.61,0.51,0.53,0.25,3.33,0.56,6.75,0
220,9,401,7.67,0.62,0.79,0.23,2.87,0.47,7.76,0
282,7,401,7.71,0.48,0.18,0.24,2.48,0.67,7.64,1
195,6.6,391,7.65,0.54,0.24,0.34,2.43,0.74,4.64,0
176,8.6,507,7.67,0.58,0.79,0.27,3.56,0.64,5.73,0
182,7.7,444,7.72,0.56,0.82,0.27,2.68,0.55,6.77,0
226,8.3,465,7.68,0.62,0.5,0.27,2.48,0.44,6.77,0
257,7.9,380,7.7,0.64,0.47,0.34,3.44,0.67,6.84,0
276,9.2,338,7.71,0.48,0.76,0.24,2.54,0.64,7.77,1
270,9,475,7.65,0.44,0.71,0.24,3.63,0.74,7.75,1
295,78.9,454,7.76,0.39,0.41,0.25,2.74,0.44,8.73,1
232,7,465,7.62,0.54,0.44,0.36,2.82,0.64,8.52,0
245,9.6,528,7.77,0.52,0.74,0.27,2.43,0.63,7.46,0
251,9,444,7.65,0.6,0.71,0.28,3.74,0.73,8.63,0
213,8.6,433,7.63,0.65,0.24,0.39,3.74,0.65,7.72,0
339,7.5,665,7.6,0.55,0.68,0.28,3.85,0.43,6.73,1
351,14.9,327,7.4,0.44,0.82,0.29,2.46,0.63,7.72,1
264,5,486,7.5,0.46,0.5,0.27,2.47,0.66,8.75,0
358,12.3,612,7.3,0.53,0.5,0.24,2.58,0.74,8.72,1
370,11.2,655,7.1,0.67,0.24,0.23,2.63,0.73,8.43,1
333,7,581,7.8,0.68,0.53,0.23,3.73,0.75,7.53,1
282,9.9,391,7.2,0.52,0.15,0.24,3.77,0.65,7.64,1
257,7.5,887,7.5,0.29,0.79,0.26,2.84,0.67,6.76,1
301,12.9,634,7.6,0.6,0.82,0.24,2.43,0.78,7.68,1
333,6.6,729,7.2,0.31,0.38,0.24,2.94,0.83,7.63,1
195,11.2,348,7.1,0.52,0.44,0.34,2.94,0.94,8.44,0
314,11.4,475,7.4,0.31,0.41,0.26,2.85,0.45,6.58,1
351,6.8,813,7.5,0.43,0.24,0.28,2.48,0.12,7.72,1
339,8.1,549,7.3,0.36,0.26,0.27,2.58,0.63,7.44,1
264,14.3,486,7.4,0.65,0.59,0.27,2.47,0.45,7.54,1
169,5.3,327,7.6,0.34,0.78,0.26,5.26,1.02,6.32,0
333,7.9,465,7.5,0.68,0.88,0.38,2.51,0.86,15.02,1
370,9.4,729,7.3,0.59,0.1,0.51,8.05,0.53,11.25,1
326,6.8,433,7.1,0.57,0.78,0.24,4.21,1.25,4.51,1
251,10.7,528,7.4,0.42,0.59,0.22,9.02,1.03,9.32,1
301,4.4,507,7.3,0.31,0.29,0.37,10.52,0.87,10.52,1
270,10.5,560,7.2,0.3,1.07,0.48,7.45,1.54,15.33,1
320,7.5,475,7.1,0.34,0.78,0.25,6.32,0.96,4.85,1
282,9.4,570,7.5,0.65,0.39,0.39,2.05,1.02,12.06,1
301,9.9,549,7.6,0.33,0.98,0.45,8.12,0.53,8.54,1
295,7,602,7.2,0.68,0.49,0.26,6.02,0.55,10.26,1
339,10.3,729,7.4,0.66,0.1,0.33,7.45,1.23,13.26,1
201,6.6,539,7.5,0.6,0.29,0.28,4.12,1.09,17.54,0
320,7.9,486,7.6,0.59,0.88,0.27,6.33,0.63,11.02,1
289,10.7,549,7.3,0.37,0.39,0.45,5.02,1.84,19.22,1
251,6.8,528,7.2,0.24,0.68,0.29,9.32,0.53,11.32,0
276,12.7,612,7.4,0.42,0.59,0.33,1.54,0.78,7.63,1
370,11.8,686,7.5,0.61,0.49,0.26,2.63,0.66,12.05,1
207,12.3,496,7.6,0.57,0.2,0.35,8.55,1.25,14.51,0
295,7.2,348,7.8,0.55,0.1,0.24,6.33,1.02,3.25,1
351,14.7,380,7.9,0.43,0.78,0.27,4.02,1.84,9.32,1
282,5.5,570,7.3,0.48,1.07,0.49,3.25,0.59,7.15,1
307,7,422,8,0.56,0.2,0.32,8.05,0.74,8.21,1
364,8.6,718,7.4,0.53,0.68,0.25,1.96,0.48,14.05,1
257,13.4,433,7.9,0.51,1.17,0.29,3.02,1.33,15.02,1
251,10.5,412,7.3,0.59,0.88,0.33,4.51,1.42,8.26,1
326,9.2,560,7.6,0.64,0.98,0.45,6.33,0.91,6.23,1
270,6.6,591,7.8,0.3,0.59,0.28,7.02,0.83,9.24,1
339,9.6,655,7.3,0.35,0.39,0.56,3.05,1.02,11.05,1
207,7.2,581,8.1,0.32,0.1,0.25,2.08,1.85,17.56,0
351,9.9,570,7.4,0.36,0.68,0.33,3.79,1.33,13.05,1
282,8.3,708,7.2,0.68,0.88,0.26,2.6,0.87,6.33,1
151,6.8,517,7.3,0.75,0.2,0.27,6.52,0.62,11.36,0
295,9.9,486,7.4,0.21,0.39,0.32,3.21,1.25,5.25,1
270,7.9,612,7.5,0.45,0.59,0.28,4.21,0.94,7.32,0
238,3.9,391,7.6,0.57,0.1,0.51,2.15,0.63,13.54,0
264,9.4,876,7.8,0.38,0.29,0.26,3.51,0.69,11.68,1
370,9.2,644,7.9,0.61,0.78,0.33,7.21,1.25,3.47,1
289,7.5,486,7.8,0.46,1.17,0.27,3.02,1.85,5.69,1
251,9.4,454,7.8,0.39,0.88,0.48,2.77,0.87,8.23,0
320,8.1,507,8.3,0.65,0.1,0.52,5.66,1.32,14.05,1
333,7.7,570,7.4,0.37,0.98,0.26,3.14,1.54,19.25,1
282,4.8,560,7.8,0.45,0.88,0.39,6.02,0.86,13.42,1
264,7.9,602,7.6,0.49,0.1,0.51,4.22,0.53,5.15,0
257,6.8,475,7.5,0.41,0.78,0.28,4.05,0.84,6.8,0
276,12.9,517,7.6,0.48,0.59,0.47,3.39,1.02,14.5,1
364,8.3,581,7.8,0.43,0.68,0.25,4.22,1.98,16.23,1
358,11.2,591,7.9,0.59,1.17,0.32,2.58,1.25,5.47,1
351,11,539,7.3,0.51,0.88,0.29,5.33,1.05,8.32,1
370,7,623,7.4,0.65,1.27,0.33,4.21,1.47,9.24,1
314,7.2,528,7.9,0.69,0.78,0.45,2.63,0.96,11.06,1
201,6.8,433,7.23,0.33,0.49,0.26,4.05,0.43,4.78,0
213,7.5,475,7.16,0.3,0.1,0.38,6.21,0.58,19.25,0
169,8.3,570,7.03,0.36,0.68,0.6,7.22,0.85,3.89,0
201,5.9,560,7,0.42,0.88,0.48,6.05,1.02,6.02,0
270,5,602,7,0.36,0.39,0.32,3.54,1.47,11.57,0
238,7,475,6.96,0.44,1.17,0.28,5.63,1.25,5.32,0
176,6.1,444,9.97,0.35,0.78,0.74,4.36,0.54,12.05,0
245,8.6,454,7,0.36,0.1,0.59,3.05,0.63,7.48,0
201,7.2,454,7.16,0.4,0.39,0.32,4.63,0.95,6.32,0
207,7.2,655,7.02,0.32,0.59,0.48,5.74,1.25,14.85,0
257,5.3,644,7.01,0.33,0.29,0.62,5.63,1.39,12.05,0
220,7.5,539,7.05,0.38,0.68,0.43,8.52,0.78,8.62,0
295,5.5,412,7,0.41,0.49,0.24,3.55,0.54,13.47,1
213,5.9,454,7.05,0.37,0.29,0.51,3.02,1.25,9.06,0
201,6.8,475,7.07,0.26,0.1,0.38,4.15,0.39,13.26,0
345,6.8,475,7,0.67,0.88,0.5,6.52,0.41,14.15,1
188,5.9,539,7.14,0.6,0.39,0.46,7.54,1.05,11.25,0
207,6.8,560,7.17,0.66,0.78,0.32,6.32,1.39,10.25,0
320,8.3,591,7.08,0.39,0.2,0.33,8.05,0.25,18.25,0
220,5.7,591,7.12,0.3,0.59,0.46,3.59,1.36,9.05,0
213,7,623,7.1,0.32,0.29,0.59,5.55,1.08,12.06,0
264,7.5,655,7.19,0.65,0.98,0.38,8.06,0.65,13.22,0
195,8.1,612,7.15,0.64,0.1,0.26,3.47,0.93,11.52,0
182,7.5,465,7.31,0.52,0.88,0.7,9.55,0.84,10.52,0
201,6.4,444,7.14,0.59,0.2,0.63,4.85,1.23,7.54,0
232,7.5,750,7.16,0.62,0.68,0.4,3.86,1.58,9.06,0
169,7.2,718,7.17,0.82,0.1,0.49,7.54,1.04,8.52,0
238,5.7,655,7.21,0.59,0.88,0.53,4.25,0.68,12.03,0
201,5.9,665,7.23,0.62,0.49,0.61,6.85,0.79,14.86,0
69,5,718,7.21,0.57,0.39,0.38,7.05,0.32,7.52,0
213,4.8,602,7.24,0.48,0.68,0.42,8.85,1.05,12.33,0
207,6.8,623,7.24,0.53,0.78,0.5,4.68,1.45,11.85,0
213,6.6,433,7.21,0.57,0.2,0.37,9.32,0.96,16.05,0
314,6.8,412,7.19,0.32,1.07,0.61,7.86,1.03,5.96,1
138,6.4,454,7.21,0.89,0.88,0.59,4.51,1.85,7.45,0
195,8.1,549,7.24,0.57,1.17,0.4,3.78,1.49,12.63,0
201,8.3,528,7.3,0.49,0.1,0.39,8.05,1.3,18.52,0
151,7.5,539,7.26,0.55,0.68,0.6,6.55,0.52,10.96,0
201,8.6,539,7.2,0.67,0.49,0.43,7.41,1.23,16.53,0
82,7.5,644,7.18,0.45,0.88,0.28,3.89,0.87,6.32,0
207,5.5,444,7.27,0.45,0.78,0.36,4.58,0.69,14.02,0
201,8.6,475,7.22,0.64,0.59,0.55,7.08,1.05,19.32,0
132,8.3,507,7.21,0.44,0.29,0.6,6.32,1.56,11.25,0
264,4.8,549,7.27,0.78,1.07,0.41,4.58,0.86,8.02,0
301,6.8,644,7.22,0.69,0.78,0.66,7.05,1.32,13.22,1
195,5.9,433,7.26,0.7,0.39,0.38,6.58,1.02,10.52,0
238,6.8,475,7.25,0.6,0.29,0.28,4.85,0.63,7.54,0
138,8.1,644,7.31,0.31,0.1,0.51,7.05,0.57,16.32,0
213,6.8,444,7.07,0.43,0.78,0.39,3.86,1.25,8.22,0
201,7.5,465,7.03,0.37,1.07,0.47,4.15,1.33,14.33,0
163,7.7,507,7.14,0.31,0.88,0.56,9.52,0.95,4.96,0
88,7.2,655,7.07,0.28,0.49,0.33,7.55,1.02,3.25,0
50,8.6,539,7.06,0.39,0.68,0.28,2.36,1.33,8.15,0
220,6.1,560,7.07,0.28,0.29,0.51,8.25,0.94,11.36,0
169,8.1,475,7.17,0.34,0.78,0.39,1.25,0.67,7.54,0
207,7,539,7.12,0.32,0.2,0.25,9.02,1.25,10.22,0
144,6.8,422,7.1,0.31,0.78,0.37,4.15,1.03,9.06,0
251,6.4,644,7.12,0.32,0.1,0.47,3.22,1.93,15.23,0
195,8.1,581,7.15,0.41,0.68,0.28,7.55,0.84,17.54,0
201,8.3,539,7.12,0.4,1.17,0.32,6.35,1.02,13.22,0
88,7.7,539,7.12,0.35,0.88,0.58,8.52,0.57,10.25,0
201,8.6,570,7.11,0.38,0.2,0.24,4.02,1.25,6.32,0
257,6.8,475,7.14,0.33,0.59,0.39,9.63,0.63,8.54,0
176,4.8,496,7.15,0.32,0.39,0.22,1.58,1.22,12.03,0
201,8.3,655,7.15,0.36,0.1,0.58,7.25,1.54,9.62,0
88,9,539,7.14,0.29,1.07,0.42,6.32,0.86,14,0
232,8.1,412,7.21,0.29,0.78,0.32,4.15,1.02,13.25,0
320,7.5,401,7.22,0.4,0.49,0.27,8.33,0.94,7.54,1
201,6.6,560,7.23,0.36,0.39,0.51,7.12,1.25,9.33,0
69,9,465,7.2,0.52,0.88,0.28,4.11,1.02,11.52,0
220,5.5,391,7.23,0.29,0.29,0.33,6.32,0.96,12.05,0
138,8.6,475,7.28,0.27,0.68,0.39,2.52,0.74,14.51,0
232,6.6,581,7.3,0.31,0.2,0.25,1.36,1.25,9.63,0
301,6.8,634,7.29,0.43,0.49,0.47,7.05,1.33,12.44,1
195,7,655,7.3,0.36,0.1,0.26,1.52,0.94,7.85,0
326,8.3,475,7.35,0.38,0.59,0.35,4.55,1.25,13.26,1
213,8.3,433,7.35,0.36,1.07,0.28,6.32,1.03,8.54,0
169,5.9,539,7.29,0.33,0.39,0.36,5.21,1.25,5.21,0
182,6.8,560,7.18,0.31,0.88,0.42,3.26,0.96,12.03,0
94,4.8,560,7.32,0.32,0.1,0.51,7.51,1.25,17.11,0
295,7.2,454,7.35,0.34,0.68,0.38,4.02,1.02,10.25,1
320,7.5,433,7.46,0.7,1.07,0.22,9.32,0.78,9.32,1
201,4.6,433,7.37,0.39,0.59,0.29,1.05,0.54,5.26,0
213,5.7,496,7.49,0.78,0.78,0.36,5.26,1.26,7.54,0
207,7,528,7.39,0.45,0.2,0.37,8.33,1.32,13.25,0
94,7.7,486,7.42,0.41,1.17,0.54,4.21,1.05,8.55,0
295,7,433,7.41,0.35,0.49,0.48,2.05,2.01,6.36,1
195,8.3,454,7.44,0.3,0.88,0.26,3.22,1.56,10.25,0
364,8.1,486,7.45,0.49,0.1,0.35,7.12,0.98,7.54,1
201,8.1,444,7.51,0.51,0.68,0.48,6.32,0.76,13.22,0
220,6.4,433,7.53,0.62,0.78,0.22,1.52,1.93,9.02,0
207,7.2,444,7.54,0.42,0.29,0.37,8.02,1.42,11.05,0
201,7.2,338,7.49,0.67,0.88,0.48,4.22,0.84,6.35,0
295,7.2,412,7.61,0.41,1.07,0.51,3.58,0.63,17.54,1
195,8.1,433,7.53,0.53,0.59,0.29,8.06,1.22,13.22,0
276,8.1,581,7.92,0.61,0.39,0.33,4.56,1.08,11.05,1
207,6.8,560,8.02,0.6,1.17,0.55,3.54,1.54,14.52,0
295,7.7,539,8.05,0.6,0.88,0.28,8.78,0.96,10.63,1
264,7.9,370,7.81,0.58,0.39,0.42,6.23,1.32,6.58,1
320,9.4,454,7.86,0.61,0.1,0.39,6.14,1.25,4.51,1
289,11,391,7.65,0.72,0.98,0.33,5.2,0.5,9.3,1
314,8.3,412,7.23,0.67,0.2,0.21,4.59,1.63,11.56,1
345,5.9,549,7.7,0.65,0.68,0.25,2.15,1.25,9.64,1
238,10.7,612,7.77,0.6,0.88,0.47,3.56,1.3,3.74,1
320,7.7,401,7.7,0.58,0.49,0.51,4.67,0.86,9.05,1
307,12.3,412,7.62,0.55,0.68,0.63,5.47,0.59,12.47,1
326,11.2,539,7.57,0.61,0.39,0.29,2.69,0.47,8.63,1
314,7.5,306,7.64,0.58,0.2,0.32,4.28,0.9,11.03,1
245,9.4,359,7.71,0.59,0.88,0.28,5.31,1.59,7.98,1
289,6.1,602,7.59,0.64,0.1,0.51,1.92,1.36,6.48,1
339,10.7,486,7.58,0.61,0.49,0.46,2.56,1.87,5.21,1
333,11.2,412,7.66,0.65,0.68,0.38,3.68,0.86,4.96,1
176,11.6,401,7.82,0.63,0.29,0.55,4.69,1.59,12.36,0
358,9.2,370,7.59,0.69,1.07,0.3,3.55,2.02,7.51,1
345,5.5,391,7.68,0.61,0.68,0.28,6.98,1.45,3.48,1
132,5.9,475,7.62,0.63,0.88,0.51,8.59,0.63,15.96,0
333,7.2,612,7.64,0.59,1.17,0.37,7.15,0.85,9.02,1
245,7.5,686,7.56,0.59,0.1,0.62,5.58,1.09,6.23,0
345,6.8,327,7.58,0.58,0.68,0.32,3.87,1.57,7.02,1
188,6.4,412,7.57,0.59,0.2,0.51,4.25,0.96,9.32,0
276,7,348,7.58,0.66,0.39,0.66,9.17,0.54,14.68,1
264,6.8,412,7.53,0.59,0.1,0.37,6.54,1.08,9.54,1
295,6.6,359,7.46,0.7,1.17,0.25,5.38,1.77,11.06,1
238,6.8,380,7.56,0.61,0.68,0.31,4.26,0.39,7.58,0
289,7.5,433,7.48,0.6,0.1,0.26,3.39,1.09,16.48,1
188,6.8,507,7.51,0.55,1.17,0.41,8.47,1.36,11.56,0
276,6.6,380,7.57,0.58,0.88,0.55,2.53,0.58,7.52,1
326,6.8,264,7.51,0.72,0.68,0.37,5.95,1.25,15.6,1
307,7,539,7.45,0.78,0.49,0.48,4.6,1.87,12.03,1
207,7.5,348,7.62,0.62,0.1,0.25,7.56,0.44,7.5,0
257,5.9,602,7.66,0.61,0.88,0.36,3.95,0.98,19.32,0
358,8.6,517,7.78,0.58,0.2,0.58,5.68,1.05,11.48,1
25,4.8,338,7.72,0.55,0.39,0.61,4.55,1.36,9.32,0
176,4.6,433,7.55,0.42,1.17,0.47,7.23,0.84,7.51,0
345,5.3,306,7.51,0.38,1.07,0.24,5.91,0.32,6.23,1
126,6.8,391,7.52,0.72,0.88,0.39,4.21,1.02,8.05,0
264,7.2,370,7.68,0.66,1.27,0.6,6.52,1.57,11.05,0
245,7.5,401,7.61,0.63,0.78,0.52,5.27,1.96,6.34,1
320,8.6,591,7.62,0.71,0.1,0.47,8.26,0.83,12.47,1
339,7.5,517,7.78,0.73,0.1,0.33,9.32,1.25,11.42,1
333,6.8,422,7.72,0.82,0.78,0.32,7.34,1.26,9.5,1
264,18.4,517,7.68,0.62,0.78,0.29,10.25,1.06,17.54,1
320,20.4,401,7.62,0.68,0.39,0.26,7.54,0.87,11.63,1
289,19.3,507,7.51,0.71,0.88,0.37,6.32,0.63,10.25,1
276,18.2,591,7.48,0.7,0.29,0.54,7.21,1.25,18.32,1
295,19.5,539,7.39,0.68,0.68,0.28,4.02,0.84,4.05,1
333,20.8,370,7.45,0.55,0.2,0.55,8.32,1.25,12.03,1
351,21.5,718,7.58,0.38,1.07,0.37,4.55,0.83,6.32,1
320,20.4,433,7.68,0.42,0.78,0.48,6.32,1.02,7.54,1
339,21.1,454,7.73,0.65,0.88,0.22,4.21,0.87,13.25,1
245,7.5,422,8,0.62,0.39,0.26,9.05,1.25,9.63,0
282,9.2,338,7.4,0.51,0.2,0.59,3.22,1.36,14.02,1
264,10.7,444,7.8,0.54,0.68,0.45,8.22,0.91,10.25,1
320,8.1,422,7.6,0.55,0.29,0.51,6.03,0.84,8.32,1
314,12.7,359,7.5,0.49,0.78,0.33,4.21,0.53,11.36,1
282,6.8,338,7.8,0.61,0.39,0.26,7.12,1.22,9.32,1
169,8.1,370,7.9,0.58,1.07,0.47,10.55,0.78,4.15,0
245,10.5,327,7.4,0.43,0.49,0.51,4.02,1.02,17.54,1
257,8.6,380,7.5,0.52,0.78,0.23,6.32,1.36,12.03,1
264,7.7,465,7.6,0.64,0.29,0.28,8.22,0.84,10.55,1
333,9.2,380,7.4,0.61,0.59,0.51,4.49,0.49,16.03,1
320,12.7,348,7.3,0.44,0.29,0.36,5.32,1.05,7.05,1
307,9,370,7.2,0.65,0.68,0.25,9.26,0.78,6.32,1
276,8.6,338,7.1,0.58,1.17,0.31,7.42,0.64,12.47,1
270,14.7,465,7.4,0.49,0.1,0.51,3.64,0.59,9.8,1
282,9.9,422,7.8,0.43,0.78,0.27,5.19,1.09,3.59,1
301,7.2,370,7.9,0.47,1.07,0.38,6.38,0.47,7.51,1
295,8.1,401,7.3,0.44,0.59,0.54,4.62,1.58,6.3,1
307,10.1,391,7.2,0.53,0.2,0.27,2.88,0.63,12.05,1
264,10.5,444,7.87,0.66,0.39,0.37,4.1,0.74,14.58,1
301,9.9,359,0.9,0.52,0.88,0.43,6.33,1.25,8.96,1
270,9,412,7.57,0.32,0.68,0.52,4.58,1.03,11.36,1
314,8.6,391,0.9,0.56,0.98,0.51,1.78,0.6,7.58,1
345,8.8,444,7.8,0.31,0.78,0.57,2.91,1.42,19.02,1
307,8.3,359,7.6,0.68,1.07,0.36,7.82,0.87,13.26,1
333,8.6,359,8,0.35,0.68,0.58,2.55,0.43,12.56,1
358,6.8,486,8.3,0.33,0.59,0.34,9.17,1.05,8.05,1
257,7.5,507,7.3,0.37,0.88,0.29,4.42,1.25,13.06,1
295,2.9,612,7.85,0.83,0.2,0.33,8.61,1.88,4.25,1
276,10.7,655,8.4,0.45,1.07,0.58,3.32,2.01,9.6,1
301,12.7,422,8.95,0.39,0.49,0.67,5.91,0.89,13.52,1
282,15.6,602,9.5,0.42,0.2,0.6,5.7,1.07,7.54,1
295,13.4,412,10.05,0.73,0.68,0.52,3.31,1.89,3.25,1
326,11.8,444,10.6,0.88,0.88,0.43,6.52,0.85,8.05,1
358,12.5,581,11.15,0.51,0.49,0.28,4.13,1.23,11.03,1
264,10.3,475,7.49,0.74,0.78,0.66,9.31,0.78,6.05,1
333,14.9,422,8.26,0.48,1.17,0.51,3.32,1.08,9.21,1
320,13.8,391,7.38,0.65,0.88,0.39,6.67,0.65,8.12,1
282,5.5,665,7.8,0.44,0.1,0.45,5.51,0.93,12.36,1
326,10.7,612,7.9,0.4,0.49,0.36,6.4,0.84,6.35,1
295,11.8,697,7.6,0.56,0.68,0.85,5.72,1.23,11.06,1
276,6.1,655,7.4,0.33,0.2,0.52,6.67,1.58,7.35,1
182,8.1,370,7.5,0.68,0.78,0.33,3.33,1.04,15.21,0
289,9.4,634,7.1,0.51,0.29,0.4,9.67,0.68,6.03,1
257,76.8,813,7.9,0.45,1.07,0.48,6.51,0.79,4.52,1
364,7.2,644,7.5,0.42,0.88,0.63,4.42,0.32,12.32,1
201,9,623,7.6,0.37,0.2,0.42,6.52,1.05,5.03,0
333,7,676,7.3,0.69,1.17,0.52,3.39,1.45,9.65,1
320,12.3,676,7.9,0.5,0.59,0.38,8.24,0.96,11.05,1
251,6.6,444,7.5,0.63,0.39,0.42,1.78,1.03,6.32,0
339,5.7,697,8,0.65,0.68,0.32,6.25,1.85,15.47,1
326,11.2,539,7.3,0.21,0.1,0.52,4.12,1.49,3.05,1
289,7.5,708,8.1,0.37,0.59,0.38,6.58,1.3,12.06,1
314,9.2,370,7.4,0.69,0.39,0.24,2.51,0.52,11.48,1
345,8.3,560,7.8,0.51,0.2,0.39,7.5,1.23,14.21,1
270,6.6,338,7.1,0.42,1.07,0.5,3.02,0.87,9.33,1
195,4.8,422,7.9,0.56,0.88,0.39,4.51,0.69,6.54,0
364,12.9,401,8.4,0.54,0.2,0.45,1.02,1.05,12.03,1
314,8.1,570,8.1,0.78,0.68,0.22,2.25,1.56,15.26,1
358,7.2,327,8.2,0.5,0.29,0.37,3.15,0.86,6.32,1
257,11.2,412,8,0.31,1.07,0.45,6.21,1.32,11.54,0
245,5.9,686,7.9,0.56,0.68,0.61,7.45,1.47,9.03,0
276,5.5,348,7.3,0.62,0.2,0.28,5.32,0.74,2.78,1
326,11.2,708,7.4,0.55,0.59,0.32,6.03,0.86,13.26,1
282,5.3,834,7.5,0.58,0.39,0.28,2.15,1.32,7.05,1
270,6.1,697,7,0.4,0.68,0.51,2.14,0.96,9.21,1
295,4.4,634,7.9,0.53,1.17,0.46,3.21,1.25,14.05,1
289,5.7,612,7.5,0.67,0.59,0.39,5.21,1.3,2.68,1
314,11.8,359,7.6,0.52,1.27,0.52,2.15,0.86,3.59,1
245,6.6,655,7.8,0.59,0.1,0.3,1.05,0.59,7.12,0
257,7.2,697,7.9,0.64,0.78,0.29,2.06,0.47,16.03,0
301,6.4,327,8.1,0.67,0.39,0.32,3.32,0.9,14.59,1
351,12.3,475,7.4,0.45,0.88,0.47,1.58,1.59,2.15,1
276,7.2,348,7.5,0.69,0.2,0.56,2.69,1.36,9.32,1
264,6.1,644,7.6,0.33,0.68,0.28,3.21,1.87,11.05,0
358,11.4,401,7.8,0.54,0.49,0.31,3.57,0.86,7.36,1
220,7,634,7.9,0.62,0.1,0.22,2.6,1.59,14.52,0
270,7.7,771,7.1,0.2,0.78,0.35,7.32,2.02,19.03,1
245,5.5,391,7.8,0.54,0.29,0.39,6.21,1.45,11.25,0
251,6.4,655,7.5,0.68,1.07,0.28,4.51,0.63,2.69,0
301,8.1,729,7.6,0.36,0.88,0.54,5.32,0.85,8.12,1
270,11.8,781,7.4,0.46,1.17,0.33,6.02,1.09,13.25,1
257,6.6,401,7.9,0.61,0.1,0.38,4.96,1.57,9.36,0
264,7.9,380,7.2,0.33,0.88,0.49,3.51,0.96,10.85,1
276,11.2,475,7.5,0.35,0.39,0.52,6.32,0.54,8.62,1
270,8.6,454,7.52,0.41,0.68,0.66,4.21,1.08,11.47,1
213,7.5,306,7.63,0.51,0.59,0.39,3.2,1.77,9.63,0
157,6.8,760,7.71,0.73,0.2,0.54,1.6,0.39,18.05,0
207,7.5,306,7.72,0.72,0.39,0.26,3.25,1.25,4.85,0
151,7.2,465,7.53,0.43,1.17,0.37,4.15,0.98,7.32,0
201,7.7,507,7.82,0.43,0.78,0.55,6.32,0.63,13.85,0
220,9,338,7.52,0.84,0.1,0.42,2.85,1.54,11.25,0
207,8.6,454,7.44,0.41,0.88,0.6,3.02,0.87,6.32,0
151,7.9,380,7.42,0.62,0.29,0.28,4.15,0.63,7.54,0
163,6.1,296,7.34,0.44,0.39,0.33,9.62,0.42,15.22,0
276,8.6,486,7.52,0.52,0.68,0.38,4.15,1.02,9.02,1
270,8.3,465,7.29,0.63,0.1,0.45,7.62,1.63,11.52,1
69,8.1,422,7.42,0.53,0.59,0.41,3.52,0.89,18.63,0
307,103.1,232,7.25,0.82,0.49,0.27,6.25,1.02,10.25,1
31,78.9,433,7.72,0.62,0.29,0.33,4.05,0.54,6.32,0
320,63.6,306,7.61,0.42,1.07,0.28,8.35,0.78,7.54,1
314,61.4,359,7.35,0.42,0.88,0.56,3.14,1.02,14.02,1
270,70.2,750,7.77,0.34,0.39,0.35,6.52,1.86,18.52,1
276,68,296,7.65,0.53,0.68,0.29,4.12,1.32,11.25,1
270,65.8,306,8.02,0.64,0.2,0.36,8.06,0.93,9.62,1
69,74.6,454,7.72,0.56,0.59,0.24,3.45,1.25,8.05,0
276,81.1,380,7.71,0.71,0.78,0.35,2.21,1.54,4.51,1
270,68,317,7.51,0.53,1.07,0.28,1.59,0.84,6.32,1
301,63.6,327,7.7,0.53,0.88,0.57,6.32,1.25,14.25,1
270,70.2,401,7.51,0.7,1.17,0.49,4.02,0.36,7.54,1
276,61.4,422,7.44,0.54,0.88,0.26,1.87,0.87,11.25,1
107,74.6,486,7.53,0.58,0.68,0.35,6.25,1.25,8.32,0
75,59.2,549,7.5,0.46,0.1,0.28,3.05,0.93,6.32,0
207,74.6,686,7.41,0.57,1.07,0.51,4.2,1.25,9.25,1
100,74.6,412,7.51,0.45,0.78,0.26,3.54,1.63,14.25,0
207,78.9,718,7.29,0.52,0.2,0.37,6.02,0.85,18.22,1
144,81.1,401,7.41,0.61,0.68,0.44,7.51,1.25,10.25,0
213,98.7,359,7.34,0.82,0.88,0.51,3.21,1.03,3.28,1
201,74.6,454,7.33,0.56,0.39,0.28,6.54,1.87,9.63,1
151,85.5,422,8.12,0.46,0.49,0.36,7.02,0.84,14.52,0
144,70.2,581,7.43,0.53,0.29,0.29,5.12,1.25,10.25,0
282,72.4,549,7.62,0.63,0.1,0.37,6.32,1.63,7.54,1
207,76.8,560,7.42,0.42,0.78,0.48,4.15,1.02,13.25,1
220,9,454,7.03,0.53,0.68,0.22,9.03,1.87,10.58,0
276,12.9,401,7.91,0.52,0.2,0.26,2.15,0.84,6.33,1
282,13.2,433,7.02,0.81,0.1,0.37,6.32,0.93,14.25,1
264,12.1,560,7.44,0.53,1.07,0.48,1.25,1.02,10.25,1
195,9.4,539,7.58,0.76,0.88,0.56,7.02,1.33,7.54,0
188,9.2,444,7.32,0.49,0.59,0.52,3.25,1.58,6.32,0
226,9,422,7.43,0.71,0.88,0.48,5.22,0.78,9.25,0
213,9.6,729,7.8,0.49,0.2,0.37,8.33,0.65,10.25,0
201,9,454,7.01,0.47,0.68,0.54,1.56,1.25,8.54,0
207,7.7,465,7.51,0.62,0.29,0.28,6.32,0.98,15.26,0
220,12.3,760,7.02,0.65,0.24,0.16,0.76,0.36,4.65,0
276,9.4,486,7.04,0.74,0.24,0.16,0.76,0.36,4.65,1
226,10.3,612,7.05,0.48,0.41,0.31,0.44,0.44,6.2,0
207,9.4,813,7.01,0.38,0.46,0.39,0.39,0.52,5.37,1
270,11.4,655,7.05,0.62,0.51,0.44,1.11,0.23,1.88,1
