N,P,K,pH,EC,OC,Zn,Fe,Cu,Mn,Output
270,7.5,186,9.48,0.13,0.38,0.8,2.4,0.61,0.4,1
267,8.6,305,8.54,0.22,0.41,0.46,8.4,0.65,2.4,1
268,8.2,226,7.45,0.28,0.41,0.84,4.6,0.26,7.4,1
276,12.8,128,9.2,0.22,0.42,0.59,9.1,0.32,2.7,1
276,10.2,286,8.7,0.28,0.45,0.22,2.6,0.09,3.2,1
276,8.5,480,8.76,0.16,0.45,0.51,6.6,0.51,4.4,1
275,3,269,7.42,0.66,0.45,0.9,6.9,0.73,4.6,1
258,19.7,268,8.29,0.36,0.45,0.31,6.3,0.52,5.7,1
274,3.7,317,8.42,0.74,0.46,0.98,1.9,0.14,2.1,1
278,24,218,8.93,0.13,0.52,0.83,7.3,0.66,5.5,1
201,17.2,248,8.11,0.34,0.53,0.38,5.2,0.33,1.7,1
278,9.8,165,9.21,0.14,0.62,0.18,8.6,0.57,5.8,1
272,9.5,139,7.5,0.22,0.68,0.72,2.6,0.12,1.8,0
277,11.5,264,8.26,0.25,0.71,0.36,7.6,0.07,0.8,1
265,4.6,283,8.12,0.14,0.73,0.38,3.7,0.18,0.8,0
277,32.4,241,7.31,0.46,0.74,0.27,8.2,0.23,4.2,1
138,8.6,560,7.46,0.62,0.7,0.24,0.31,0.77,8.71,0
213,7.5,338,7.62,0.75,1.06,0.3,0.86,1.54,2.89,0
163,9.6,718,7.59,0.51,1.11,0.3,0.86,1.57,2.7,0
157,6.8,475,7.64,0.58,0.94,0.34,0.54,1.53,2.65,0
270,9.9,444,7.63,0.4,0.86,0.25,0.76,1.69,2.43,1
220,8.6,444,7.43,0.65,0.72,0.37,0.66,0.9,2.19,0
220,7.2,222,7.62,0.43,0.81,0.34,0.69,1.05,2,0
207,7,401,7.63,0.59,0.69,0.32,0.68,0.62,2.43,0
289,8.6,560,7.58,0.44,0.67,0.63,0.66,0.94,2.43,1
138,8.1,739,7.55,0.33,0.78,0.69,0.41,1.15,2.75,0
151,8.1,549,7.59,0.45,0.97,0.71,0.38,1.33,2.79,1
144,7.2,306,7.53,0.73,0.89,0.63,0.47,1.03,2.79,0
138,5.3,444,7.68,0.6,0.78,0.73,0.36,1.32,3.32,1
144,8.3,549,7.45,0.53,0.81,0.51,0.56,1.26,2.9,0
201,7.7,676,7.39,0.77,0.72,0.58,0.47,1.02,3.77,1
182,9.2,718,7.47,0.34,0.67,0.77,0.41,1.28,3.04,0
238,7.5,771,7.38,0.88,0.75,0.46,0.38,1.16,2.96,0
270,8.1,655,7.45,0.55,0.67,0.28,0.44,1.26,7.75,1
213,6.1,803,7.38,0.78,0.61,0.3,0.49,0.66,7.74,0
245,8.1,560,7.31,0.63,0.78,0.29,0.43,0.57,7.73,0
282,8.3,454,7.43,0.62,0.75,0.32,0.5,0.81,4.99,1
213,8.3,676,7.36,0.51,0.69,0.28,0.93,1.04,2.17,0
207,9.4,127,7.62,0.68,0.75,0.28,0.72,1.04,2.43,0
307,8.3,11,7.49,0.84,0.69,0.26,0.57,0.73,2.13,1
207,7.2,496,7.55,0.61,0.64,0.24,0.47,1.15,1.99,0
201,5.5,359,7.44,0.76,0.78,0.18,0.83,0.71,2.24,0
364,7.5,507,7.63,0.52,0.69,0.23,1.19,0.39,2.16,1
220,8.3,560,7.42,0.63,0.61,0.19,1.08,0.34,1.77,0
245,8.3,560,7.58,0.74,0.83,0.32,0.96,1.57,2.67,0
207,7.7,676,7.41,0.42,1,0.27,0.92,1.43,3.12,0
276,8.3,401,7.34,0.53,0.72,0.28,0.57,1.34,2.15,1
207,5,560,7.4,0.84,0.67,0.27,0.46,1.53,2.43,0
245,5.7,465,7.29,0.63,0.61,0.25,0.44,1.24,2.11,0
169,8.1,549,8.23,0.58,0.56,0.2,0.38,1.15,3.01,1
182,5,560,7.62,0.52,0.47,0.73,0.46,1.14,2.72,0
220,8.3,760,7.48,0.59,0.67,0.83,0.37,1.99,3.84,0
138,5.7,401,7.42,0.72,0.78,0.37,0.32,1.34,3.77,1
238,8.3,697,7.59,0.43,0.83,0.45,0.43,1.43,2.65,0
151,8.1,517,7.46,0.43,0.86,0.36,0.38,1.92,2.88,0
207,7.9,612,7.44,0.55,1,0.45,0.47,1.47,3.16,0
138,8.3,581,7.63,0.86,0.53,0.76,0.35,1.42,5.07,0
182,10.7,708,7.48,0.57,1.11,0.59,0.92,1.15,6.69,0
138,7.5,612,7.54,0.72,0.54,0.29,0.95,1.91,4.64,0
207,8.3,370,7.52,0.44,1.03,0.31,0.81,1.43,4.98,0
295,8.6,676,7.41,0.48,0.97,0.38,0.71,1.97,5.15,1
289,5.7,338,7.64,0.57,0.72,0.18,1.06,0.92,2.46,1
207,7,444,7.55,0.57,0.83,0.18,0.96,0.93,2.15,0
138,8.1,718,7.48,0.63,0.94,0.19,1.02,1.15,2.24,0
138,8.3,454,7.65,0.58,1.03,0.25,1.05,1.19,2.16,0
82,7.9,496,7.37,0.51,1.06,0.2,1.03,1.04,2.35,1
107,8.3,612,7.43,0.43,0.75,0.18,0.95,0.89,2.16,0
38,7,370,7.57,0.42,1.08,0.18,0.86,1.04,2,1
88,7.2,655,7.46,0.44,1,0.18,0.78,1.03,2.27,1
